trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
200903,0.1874829033,0.0521621854,-0.016003313,-0.073892856,0.001856,0.031768262,-0.020756054,-0.078658265,-0.046200793,-0.021163296,-0.013748718,-0.012660771
200904,0.0595681193,0.0148834021,-0.001372627,-0.005914351,0.001856,0.0235218854,0.0121304581,0.001069252,-0.006947516,0.0052249221,-0.008417584,-0.00089097
200905,0.0500674723,0.0374159422,-0.002518665,-0.021550902,0.001856,0.0270205376,0.0001396801,-0.03258996,-0.016963853,-0.009581375,-0.026946162,0.0104535789
200906,0.082215754,-0.023521178,-0.007910253,-0.013913804,0.001856,0.0105166902,-0.00221135,-0.012113984,0.0511795954,-0.019231359,-0.004220132,0.0131320607
200907,0.1694288623,-0.035476016,0.0830805794,-0.076486572,0.001856,-0.019013433,0.0455712622,-0.050364533,-0.037055374,-0.003138499,0.0156256004,-0.018374402
200908,-0.191407874,0.0398446581,-0.061674172,-0.073566199,0.001856,0.0218660652,-0.042157744,-0.039577763,-0.00409812,0.0184226541,0.0019210369,0.012124413
200909,0.0393510628,-0.011221658,-0.019390832,0.0180013372,0.001856,-0.003530838,-0.011678153,-0.003556161,0.0416672168,-0.029727364,0.0201710583,-0.015085866
200910,0.1001742044,0.0274786238,0.0168698031,0.0662757279,0.001856,0.0107907328,0.0133955637,0.026350081,-0.025450417,0.0338868379,-0.010076813,0.0092234946
200911,0.1091365073,0.0478961642,-0.00341834,-0.002976972,0.001856,0.0196433628,0.0104472219,-0.039497334,-0.013825273,0.0491846074,-0.006112757,0.0134660505
200912,0.0243857253,0.0179924764,0.0333050112,-0.053401869,0.001856,0.0305068403,-0.000077794,-0.027665203,-0.016207113,0.012342368,-0.004686865,0.0061875372
201001,-0.077271857,0.062518934,-0.042834358,-0.060812647,0.001856,0.0219946143,-0.021702012,-0.030725755,-0.02220628,0.0384543699,-0.014016764,0.0185857396
201002,0.0373265624,0.0377108207,0.0088863651,0.030775456,0.001856,0.0214138032,0.0116792755,0.0060615199,-0.034361358,0.0340119143,-0.026017237,0.0209420978
201003,0.0137423314,0.0335529724,0.0005312508,-0.003722202,0.001856,0.0320748785,0.0033638466,-0.009712,-0.007033599,0.0174741382,-0.014613901,0.0188564301
201004,-0.079029982,0.0078542404,-0.041948921,0.0548771778,0.001856,-0.005760651,-0.039277032,0.0075175003,0.0121112483,0.006827404,0.0300936906,0.0039778095
201005,-0.088813778,0.0036177331,-0.051985579,0.0620447472,0.001856,0.0011774173,-0.038465197,0.0558816913,0.0351445211,-0.007436378,0.0173718519,-0.012145557
201006,-0.092540678,-0.010341724,-0.007173924,-0.028623293,0.001856,0.0021875825,-0.004726205,-0.018930672,-0.000841869,-0.008148051,0.0058710578,0.0033210745
201007,0.144574194,0.0234252743,0.0061645615,-0.032995471,0.001856,0.0201555302,0.0197871758,-0.04912887,-0.012461104,0.005962834,-0.006518269,0.0009512045
201008,0.0556209369,0.0460477919,-0.062678194,0.095874538,0.001856,0.0226696876,-0.038606721,0.0568595199,-0.024491553,0.0054349689,-0.013734406,0.0202710183
201009,0.0245659092,-0.015780929,-0.030573054,0.0401267177,0.001856,-0.012645852,-0.019409656,0.0140240645,-0.011494341,-0.010673748,-0.012920976,0.0006387775
201010,0.1182081611,-0.04289462,0.0049505739,-0.066983948,0.00206,-0.032256941,0.0165303307,-0.036425856,0.0064441849,-0.029910144,0.0102196599,-0.02751362
201011,-0.038399128,0.0578179492,-0.045326681,0.0738197218,0.00206,0.0346321913,-0.026273672,0.0541978113,0.0110314073,-0.002702916,-0.001714108,0.0217360139
201012,-0.010862957,-0.002647455,0.0158869854,-0.025101774,0.002263,0.0111366868,0.0021237133,-0.005134654,0.0199292812,-0.026266737,0.0075625443,-0.022355822
201101,-0.025281149,-0.018186632,0.0586777022,-0.095811576,0.002263,-0.000568234,0.0436172231,-0.058261189,-0.004892578,0.0049927842,-0.015551593,0.0125450171
201102,0.0612912375,0.0419737488,-0.025180807,0.0405631218,0.002466,0.012954855,0.0021675509,0.0161502036,-0.055727691,0.0371114111,-0.034382246,0.0150542722
201103,-0.005173147,0.0156148071,0.0278541333,-0.035838674,0.002466,0.0184112177,0.0217454753,-0.053764507,0.0037727175,0.0054636952,-0.030418603,0.0193219476
201104,-0.022206191,-0.006813437,0.0124368161,-0.045737977,0.002669,-0.001108247,0.0183218428,-0.026901688,0.0141544008,-0.006570339,-0.012182157,0.0118279902
201105,-0.069725163,-0.00121463,-0.007424654,0.0027498858,0.002669,0.0096036798,0.000770461,-0.007568996,0.0191844773,-0.0166991,0.0095591252,-0.008956241
201106,0.0300289251,0.0082662179,-0.011966143,0.0550411757,0.002669,0.0149327535,-0.006709614,0.0392237473,-0.008896518,-0.003051188,-0.0119054,-0.001771175
201107,-0.008025777,0.0179821333,-0.054956806,0.012812058,0.002871,0.0146371288,-0.047420908,0.0041325972,-0.012002181,-0.007193686,-0.009248757,-0.000776369
201108,-0.053867679,0.0214740293,-0.029373313,0.0032575416,0.002871,0.0201031067,-0.017493706,-0.020071752,0.0065992674,-0.028400978,0.003992395,-0.01067263
201109,-0.09773428,-0.016842361,0.0347541409,-0.02753228,0.002871,0.0033791764,0.0142081189,-0.034027017,0.0268957265,0.0114503862,-0.00539959,0.0170484822
201110,0.0284180016,0.0122452615,-0.003330456,-0.016700174,0.002871,0.0082822727,-0.004233948,-0.013748866,-0.008445837,0.0018619333,0.0039198286,-0.006709369
